,,食品名,水分,水溶性食物繊維,不溶性食物繊維,食物繊維総量,低分子量水溶性食物繊維,高分子量水溶性食物繊維,不溶性食物繊維,難消化性でん粉,食物繊維総量,備考
,,成分識別子,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
,,単位,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,
01194,81,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後のめん （スープを残したもの）,62.0,-,-,-,0.8,0.6,0.8,0.3,2.2,
01191,82,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 乾 （添付調味料等を含むもの）,9.7,-,-,-,3.1,1.5,1.5,0.5,6.1,
01200,83,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後全体 （添付調味料等を含むもの）,80.8,-,-,-,0.7,0.4,0.4,0.1,1.4,01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計
01192,84,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後のめん （スープを残したもの）,69.1,-,-,-,0.8,0.5,0.7,0.3,1.9,
01060,85,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 乾 （添付調味料等を含むもの）,11.1,1.1,1.1,2.2,2.4,1.4,1.9,0.3,5.7,
01202,86,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 調理後全体 （添付調味料等を含むもの）,53.6,-,-,-,1.4,0.8,1.1,0.2,3.3,01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計
01061,87,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 乾 （添付調味料等を含むもの）,15.2,1.6,1.1,2.7,2.2,2.2,2.0,0.5,6.4,
01203,88,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後全体 （添付調味料等を含むもの）,83.5,-,-,-,0.5,0.5,0.5,0.1,1.5,01061中華スタイル即席カップめん、非油揚げ、乾より推計
01195,89,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後のめん （スープを残したもの）,68.8,-,-,-,0.6,0.5,1.3,0.4,2.5,
01062,90,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 乾 （添付調味料等を含むもの）,6.2,1.3,0.6,1.9,2.6,2.0,1.4,0.3,6.0,
01204,91,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後全体 （添付調味料等を含むもの）,80.5,-,-,-,0.6,0.5,0.3,0.1,1.4,01062和風スタイル即席カップめん、油揚げ、乾より推計
01196,92,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後のめん （スープを残したもの）,64.4,-,-,-,0.9,0.7,0.9,0.4,2.4,
01063,93,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ 乾,11.3,1.4,1.6,3.0,1.6,1.9,2.0,0.2,5.4,
01064,94,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ゆで,60.0,0.5,1.2,1.7,0.6,0.8,1.7,0.4,3.0,
01173,95,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ソテー,57.0,0.5,1.2,1.6,0.5,0.7,1.6,0.4,2.9,原材料配合割合から推計
01149,96,こむぎ ［マカロニ・スパゲッティ類］ 生パスタ 生,42.0,0.8,0.7,1.5,-,-,-,-,-,
01065,97,こむぎ ［ふ類］ 生ふ,60.0,0.2,0.3,0.5,-,-,-,-,-,
01066,98,こむぎ ［ふ類］ 焼きふ 釜焼きふ,11.3,1.1,2.6,3.7,-,-,-,-,-,
01067,99,こむぎ ［ふ類］ 焼きふ 板ふ,12.5,1.5,2.3,3.8,-,-,-,-,-,
01068,100,こむぎ ［ふ類］ 焼きふ 車ふ,11.4,1.1,1.5,2.6,-,-,-,-,-,
01070,102,こむぎ ［その他］ 小麦はいが,3.6,0.7,13.6,14.3,-,-,-,-,-,
01071,103,こむぎ ［その他］ 小麦たんぱく 粉末状,6.5,0.5,1.9,2.4,-,-,-,-,-,
01072,104,こむぎ ［その他］ 小麦たんぱく 粒状,76.0,0,0.4,0.4,-,-,-,-,-,
01073,105,こむぎ ［その他］ 小麦たんぱく ペースト状,66.0,0,0.5,0.5,-,-,-,-,-,
01074,107,こむぎ ［その他］ ぎょうざの皮 生,32.0,1.0,1.2,2.2,-,-,-,-,-,
01075,108,こむぎ ［その他］ しゅうまいの皮 生,31.1,1.0,1.2,2.2,-,-,-,-,-,
01179,109,こむぎ ［その他］ 春巻きの皮 生,26.7,-,-,-,2.1,1.2,1.2,0.4,4.5,
01180,110,こむぎ ［その他］ 春巻きの皮 揚げ,7.3,-,-,-,1.9,1.2,1.1,0.5,4.2,
01076,111,こむぎ ［その他］ ピザ生地,35.3,0.8,1.5,2.3,-,-,-,-,-,
01069,112,こむぎ ［その他］ ちくわぶ,60.4,0.6,0.9,1.5,-,-,-,-,-,
01077,113,こむぎ ［その他］ パン粉 生,35.0,1.2,1.8,3.0,-,-,-,-,-,
01078,114,こむぎ ［その他］ パン粉 半生,26.0,1.4,2.1,3.5,-,-,-,-,-,
01079,115,こむぎ ［その他］ パン粉 乾燥,13.5,1.6,2.4,4.0,-,-,-,-,-,
01150,116,こむぎ ［その他］ 冷めん 生,36.4,0.6,0.6,1.1,-,-,-,-,-,
01080,117,こめ ［水稲穀粒］ 玄米,14.9,0.7,2.3,3.0,-,-,-,-,-,
01081,118,こめ ［水稲穀粒］ 半つき米,14.9,0.4,1.0,1.4,-,-,-,-,-,
01082,119,こめ ［水稲穀粒］ 七分つき米,14.9,0.2,0.7,0.9,-,-,-,-,-,
01083,120,こめ ［水稲穀粒］ 精白米 うるち米,14.9,Tr,0.5,0.5,-,-,-,-,-,
01151,121,こめ ［水稲穀粒］ 精白米 もち米,14.9,Tr,0.5,0.5,-,-,-,-,-,01083水稲穀粒うるち米から推計
01152,122,こめ ［水稲穀粒］ 精白米 インディカ米,13.7,0.1,0.4,0.5,-,-,-,-,-,
01084,123,こめ ［水稲穀粒］ はいが精米,14.9,0.3,1.0,1.3,-,-,-,-,-,
01153,124,こめ ［水稲穀粒］ 発芽玄米,14.9,0.5,2.6,3.1,-,-,-,-,-,
01181,125,こめ ［水稲穀粒］ 赤米,14.6,-,-,-,0.5,0.6,5.4,0.2,6.5,
01182,126,こめ ［水稲穀粒］ 黒米,15.2,-,-,-,0.8,0.9,3.9,0.2,5.6,
01085,127,こめ ［水稲めし］ 玄米,60.0,0.2,1.2,1.4,-,-,-,-,-,
01086,128,こめ ［水稲めし］ 半つき米,60.0,0.2,0.6,0.8,-,-,-,-,-,
01087,129,こめ ［水稲めし］ 七分つき米,60.0,0.1,0.4,0.5,-,-,-,-,-,
01168,130,こめ ［水稲めし］ 精白米 インディカ米,54.0,0,0.4,0.4,-,-,-,-,-,
01088,131,こめ ［水稲めし］ 精白米 うるち米,60.0,0,0.3,0.3,0.9,Tr,0.6,0.1,1.5,
01154,132,こめ ［水稲めし］ 精白米 もち米,52.1,0,0.4,0.4,-,-,-,-,-,01088水稲めしうるち米から推計
01089,133,こめ ［水稲めし］ はいが精米,60.0,0.2,0.6,0.8,-,-,-,-,-,
01155,134,こめ ［水稲めし］ 発芽玄米,60.0,0.2,1.6,1.8,-,-,-,-,-,
01183,135,こめ ［水稲めし］ 赤米,61.3,-,-,-,0.9,0.2,2.3,0.1,3.4,
01184,136,こめ ［水稲めし］ 黒米,62.0,-,-,-,1.0,0.3,2.0,0.1,3.3,
01185,137,こめ ［水稲軟めし］ 精白米,71.5,0,0.3,0.3,0.7,Tr,0.4,0.1,1.1,01088水稲めしうるち米から推計
01090,138,こめ ［水稲全かゆ］ 玄米,83.0,0.1,0.5,0.6,-,-,-,-,-,
01091,139,こめ ［水稲全かゆ］ 半つき米,83.0,0.1,0.2,0.3,-,-,-,-,-,
01092,140,こめ ［水稲全かゆ］ 七分つき米,83.0,Tr,0.2,0.2,-,-,-,-,-,
01093,141,こめ ［水稲全かゆ］ 精白米,83.0,0,0.1,0.1,-,-,-,-,-,
01094,142,こめ ［水稲五分かゆ］ 玄米,91.5,Tr,0.3,0.3,-,-,-,-,-,
01095,143,こめ ［水稲五分かゆ］ 半つき米,91.5,Tr,0.1,0.1,-,-,-,-,-,
01096,144,こめ ［水稲五分かゆ］ 七分つき米,91.5,Tr,0.1,0.1,-,-,-,-,-,
01097,145,こめ ［水稲五分かゆ］ 精白米,91.5,0,0.1,0.1,-,-,-,-,-,
01098,146,こめ ［水稲おもゆ］ 玄米,95.0,Tr,0.2,0.2,-,-,-,-,-,
01099,147,こめ ［水稲おもゆ］ 半つき米,95.0,Tr,0.1,0.1,-,-,-,-,-,
01100,148,こめ ［水稲おもゆ］ 七分つき米,95.0,Tr,Tr,Tr,-,-,-,-,-,
01101,149,こめ ［水稲おもゆ］ 精白米,95.0,0,Tr,Tr,-,-,-,-,-,
01102,150,こめ ［陸稲穀粒］ 玄米,14.9,0.7,2.3,3.0,-,-,-,-,-,
01103,151,こめ ［陸稲穀粒］ 半つき米,14.9,0.4,1.0,1.4,-,-,-,-,-,
01104,152,こめ ［陸稲穀粒］ 七分つき米,14.9,0.2,0.7,0.9,-,-,-,-,-,
01105,153,こめ ［陸稲穀粒］ 精白米,14.9,Tr,0.5,0.5,-,-,-,-,-,
01106,154,こめ ［陸稲めし］ 玄米,60.0,0.2,1.2,1.4,-,-,-,-,-,
01107,155,こめ ［陸稲めし］ 半つき米,60.0,0.2,0.6,0.8,-,-,-,-,-,
01108,156,こめ ［陸稲めし］ 七分つき米,60.0,0.1,0.4,0.5,-,-,-,-,-,
01109,157,こめ ［陸稲めし］ 精白米,60.0,0,0.3,0.3,-,-,-,-,-,
01110,158,こめ ［うるち米製品］ アルファ化米 一般用,7.9,0.2,1.0,1.2,-,-,-,-,-,
01156,159,こめ ［うるち米製品］ アルファ化米 学校給食用強化品,7.9,0.2,1.0,1.2,-,-,-,-,-,
01111,160,こめ ［うるち米製品］ おにぎり,57.0,0,0.4,0.4,-,-,-,-,-,
01112,161,こめ ［うるち米製品］ 焼きおにぎり,56.0,0,0.4,0.4,-,-,-,-,-,
01113,162,こめ ［うるち米製品］ きりたんぽ,50.0,0,0.4,0.4,-,-,-,-,-,
01114,163,こめ ［うるち米製品］ 上新粉,14.0,Tr,0.6,0.6,-,-,-,-,-,
01157,164,こめ ［うるち米製品］ 玄米粉,4.6,0.6,2.9,3.5,-,-,-,-,-,
01158,165,こめ ［うるち米製品］ 米粉,11.1,Tr,0.6,0.6,-,-,-,-,-,
01211,166,こめ ［うるち米製品］ 米粉パン 食パン,41.2,0.1,0.6,0.7,-,-,-,-,-,
01212,167,こめ ［うるち米製品］ 米粉パン ロールパン,41.2,0.1,0.5,0.6,-,-,-,-,-,
01159,168,こめ ［うるち米製品］ 米粉パン 小麦グルテン不使用のもの,41.2,0.1,0.8,0.9,-,-,-,-,-,
01160,169,こめ ［うるち米製品］ 米粉めん,37.0,0.3,0.6,0.9,-,-,-,-,-,
01115,170,こめ ［うるち米製品］ ビーフン,11.1,0,0.9,0.9,-,-,-,-,-,
01169,171,こめ ［うるち米製品］ ライスペーパー,13.2,0.2,0.6,0.8,-,-,-,-,-,
01116,172,こめ ［うるち米製品］ 米こうじ,33.0,0.2,1.2,1.4,-,-,-,-,-,
01117,173,こめ ［もち米製品］ もち,44.5,0,0.5,0.5,-,-,-,-,-,
01118,174,こめ ［もち米製品］ 赤飯,53.0,0.1,1.5,1.6,-,-,-,-,-,
01119,175,こめ ［もち米製品］ あくまき,69.5,0,0.2,0.2,-,-,-,-,-,
01120,176,こめ ［もち米製品］ 白玉粉,12.5,Tr,0.5,0.5,-,-,-,-,-,
01121,177,こめ ［もち米製品］ 道明寺粉,11.6,0,0.7,0.7,-,-,-,-,-,
01161,178,こめ ［その他］ 米ぬか,10.3,2.2,18.3,20.5,-,-,-,-,-,
01122,179,そば そば粉 全層粉,13.5,0.8,3.5,4.3,-,-,-,-,-,
01123,180,そば そば粉 内層粉,14.0,0.5,1.3,1.8,-,-,-,-,-,
01124,181,そば そば粉 中層粉,13.5,1.3,3.1,4.4,-,-,-,-,-,
01125,182,そば そば粉 表層粉,13.0,1.1,6.0,7.1,-,-,-,-,-,
01126,183,そば そば米,12.8,1.0,2.7,3.7,-,-,-,-,-,
01127,184,そば そば 生,33.0,-,-,-,1.8,1.6,2.6,0.2,6.0,
01128,185,そば そば ゆで,68.0,0.5,1.5,2.0,0.9,0.8,1.2,0.1,2.9,
01197,186,そば そば 半生そば,23.0,1.1,2.0,3.1,2.1,1.9,3.0,0.3,6.9,
01129,187,そば 干しそば 乾,14.0,1.6,2.1,3.7,-,-,-,-,-,
01130,188,そば 干しそば ゆで,72.0,0.5,1.0,1.5,-,-,-,-,-,
01131,189,とうもろこし 玄穀 黄色種,14.5,0.6,8.4,9.0,-,-,-,-,-,
01162,190,とうもろこし 玄穀 白色種,14.5,0.6,8.4,9.0,-,-,-,-,-,
01132,191,とうもろこし コーンミール 黄色種,14.0,0.6,7.4,8.0,-,-,-,-,-,
01163,192,とうもろこし コーンミール 白色種,14.0,0.6,7.4,8.0,-,-,-,-,-,
01133,193,とうもろこし コーングリッツ 黄色種,14.0,0.1,2.3,2.4,-,-,-,-,-,
01164,194,とうもろこし コーングリッツ 白色種,14.0,0.1,2.3,2.4,-,-,-,-,-,
01134,195,とうもろこし コーンフラワー 黄色種,14.0,0.2,1.5,1.7,-,-,-,-,-,
01165,196,とうもろこし コーンフラワー 白色種,14.0,0.2,1.5,1.7,-,-,-,-,-,
01135,197,とうもろこし ジャイアントコーン フライ 味付け,4.3,0.6,9.9,10.5,-,-,-,-,-,
01136,198,とうもろこし ポップコーン,4.0,0.2,9.1,9.3,-,-,-,-,-,
01137,199,とうもろこし コーンフレーク,4.5,0.3,2.1,2.4,-,-,-,-,-,
01138,200,はとむぎ 精白粒,13.0,0,0.6,0.6,-,-,-,-,-,
01139,201,ひえ 精白粒,12.9,0.4,3.9,4.3,-,-,-,-,-,
01140,202,もろこし 玄穀,12.0,0.7,9.0,9.7,-,-,-,-,-,
01141,203,もろこし 精白粒,12.5,0.4,4.0,4.4,-,-,-,-,-,
01142,204,ライむぎ 全粒粉,12.5,3.2,10.1,13.3,-,-,-,-,-,
01143,205,ライむぎ ライ麦粉,13.5,4.7,8.2,12.9,-,-,-,-,-,
02068,206,＜いも類＞ アメリカほどいも 塊根 生,56.5,-,-,-,0.8,1.8,8.5,0.3,11.1,
02069,207,＜いも類＞ アメリカほどいも 塊根 ゆで,57.1,-,-,-,0.9,3.2,4.2,1.5,8.4,
02001,208,＜いも類＞ きくいも 塊茎 生,81.7,0.5,1.4,1.9,-,-,-,-,-,
02041,209,＜いも類＞ きくいも 塊茎 水煮,85.4,0.5,1.6,2.1,-,-,-,-,-,
02002,210,＜いも類＞ こんにゃく 精粉,6.0,73.3,6.6,79.9,-,-,-,-,-,
02003,211,＜いも類＞ こんにゃく 板こんにゃく 精粉こんにゃく,97.3,0.1,2.1,2.2,-,-,-,-,-,
02004,212,＜いも類＞ こんにゃく 板こんにゃく 生いもこんにゃく,96.2,Tr,3.0,3.0,-,-,-,-,-,
02042,213,＜いも類＞ こんにゃく 赤こんにゃく,97.1,0.1,2.3,2.3,-,-,-,-,-,
02043,214,＜いも類＞ こんにゃく 凍みこんにゃく 乾,12.0,0.9,70.4,71.3,-,-,-,-,-,
02044,215,＜いも類＞ こんにゃく 凍みこんにゃく ゆで,80.8,0.2,15.3,15.5,-,-,-,-,-,
02005,216,＜いも類＞ こんにゃく しらたき,96.5,0,2.9,2.9,-,-,-,-,-,
02045,217,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 生,64.6,0.9,1.8,2.8,-,-,-,-,-,
02046,218,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 蒸し,64.2,1.0,2.8,3.8,-,-,-,-,-,
02047,219,＜いも類＞ （さつまいも類） さつまいも 塊根 皮つき 天ぷら,52.4,0.9,2.2,3.1,-,-,-,-,-,
02006,220,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 生,65.6,0.6,1.6,2.2,-,-,-,-,-,
02007,221,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 蒸し,65.6,0.6,1.7,2.3,-,-,-,-,-,
02008,222,＜いも類＞ （さつまいも類） さつまいも 塊根 皮なし 焼き,58.1,1.1,2.4,3.5,-,-,-,-,-,
02009,223,＜いも類＞ （さつまいも類） さつまいも 蒸し切干,22.2,2.4,3.5,5.9,-,-,-,-,-,
02048,224,＜いも類＞ （さつまいも類） むらさきいも 塊根 皮なし 生,66.0,0.8,1.7,2.5,-,-,-,-,-,
02049,225,＜いも類＞ （さつまいも類） むらさきいも 塊根 皮なし 蒸し,66.2,0.9,2.1,3.0,-,-,-,-,-,
02010,226,＜いも類＞ （さといも類） さといも 球茎 生,84.1,0.8,1.5,2.3,-,-,-,-,-,
02011,227,＜いも類＞ （さといも類） さといも 球茎 水煮,84.0,0.9,1.5,2.4,-,-,-,-,-,
