,,食物名,エネルギーJ,エネルギー,水分,アミノ酸組成による たんぱく質,"たんぱく質",脂肪酸のトリアシルグリセロール当量,"コレステロール",脂質,利用可能炭水化物,利用可能炭水化物 （質量計）,"差引き法による 利用可能炭水化物 ","食物繊維総量",糖アルコール,炭水化物,有機酸,灰分,ナ ト リ ウ ム,カ リ ウ ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ ン,鉄,亜 鉛,銅,マ ン ガ ン,ヨ ウ 素,セ レ ン,ク ロ ム,モリブデン,レチノール,α|カロテン,β|カロテン,β|クリプトキサンチン,β|カロテン当量,レチノール活性当量,"      ビタミンD",α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,ビタミンK,ビタミンＢ１,"ビタミン B２","ナイアシン",ナイアシン当量,ビタミンＢ６,"ビタミンＢ１２","葉 酸",パントテン酸,ビ オ チ ン,ビタミンC,アルコール,食塩相当量
,,単位,kJ,kcal,g,g,"g",g,"mg",g,g,g,"g","g",g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,"μg",mg,mg,mg,mg,μg,mg,"mg","mg",mg,mg,"μg","μg",mg,μg,mg,g,g
,,成分識別子,ENERC,ENERC_KCAL,WATER,PROTCAA,"PROT-",FATNLEA,"CHOLE",FAT-,CHOAVLM,CHOAVL,"CHOAVLDF-","FIB-",POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,"VITD",TOCPHA,TOCPHB,TOCPHG,TOCPHD,"VITK ",THIA,"RIBF","NIA",NE,VITB6A,"VITB12","FOL",PANTAC,BIOT,VITC,ALC,NACL_EQ
01031,39,こむぎ ［パン類］ フランスパン,1231,289,30.0,8.6,"9.4",1.1,"0",1.3,63.9,58.2,"55.8","2.7",-,57.5,-,1.8,620,110,16,22,72,0.9,0.8,0.14,0.39,Tr,29,1,20,0,0,0,0,0,0,"0",0.1,0.1,0.1,Tr,0,0.08,"0.05","1.1",2.9,0.04,"0","33",0.45,1.9,0,-,1.6
01032,40,こむぎ ［パン類］ ライ麦パン,1066,252,35.0,6.7,"8.4",2.0,"0",2.2,-,-,"49.0","5.6",-,52.7,-,1.7,470,190,16,40,130,1.4,1.3,0.18,0.87,-,-,-,-,0,0,0,0,0,0,"Tr",0.3,0.1,0.2,0.1,0,0.16,"0.06","1.3",2.7,0.09,"0","34",0.46,-,0,-,1.2
01208,41,こむぎ ［パン類］ 全粒粉パン,1059,251,39.2,7.2,"7.9",5.4,"Tr",5.7,43.7,39.9,"41.9","4.5",-,45.5,0,1.7,410,140,14,51,120,1.3,0.4,0.18,1.35,0,27,1,22,0,0,0,0,0,0,"Tr",0.8,0.2,0.5,0.2,0,0.17,"0.07","2.4",3.7,0.13,"0","49",0.67,5.4,0,-,1.0
01033,42,こむぎ ［パン類］ ぶどうパン,1113,263,35.7,7.3,"8.2",3.3,"Tr",3.5,-,-,"50.0","2.2",-,51.1,-,1.5,400,210,32,23,86,0.9,0.6,0.15,0.32,-,-,-,-,Tr,0,1,0,1,Tr,"Tr",0.4,0.1,0.4,0.2,Tr,0.11,"0.05","1.2",2.8,0.07,"Tr","33",0.42,-,Tr,-,1.0
01034,43,こむぎ ［パン類］ ロールパン,1304,309,30.7,8.5,"10.1",8.5,"Tr",9.0,49.7,45.7,"48.6","2.0",Tr,48.6,-,1.6,490,110,44,22,97,0.7,0.8,0.12,0.29,-,-,-,-,0,0,15,0,15,1,"0.1",0.5,0.1,0.7,0.2,Tr,0.10,"0.06","1.3",3.1,0.03,"Tr","38",0.61,-,0,-,1.2
01209,44,こむぎ ［パン類］ クロワッサン レギュラータイプ,1702,406,20.0,5.9,"6.5",19.3,"20",20.4,52.3,47.9,"51.2","1.9",-,51.5,Tr,1.6,530,110,27,14,65,0.4,0.5,0.08,0.26,3,5,Tr,6,34,0,38,Tr,38,31,"1.4",2.6,0.2,4.8,1.0,7,0.11,"0.09","0.9",2.0,0.05,"0.1","46",0.42,3.9,0,-,1.3
01035,45,こむぎ ［パン類］ クロワッサン リッチタイプ,1828,438,20.0,7.2,"7.9",25.4,"35",26.8,-,-,"44.2","1.8",-,43.9,-,1.4,470,90,21,17,67,0.6,0.6,0.10,0.29,-,-,-,-,0,5,66,0,69,6,"0.1",1.9,0.2,5.3,1.2,Tr,0.08,"0.03","1.0",2.6,0.03,"Tr","33",0.44,-,0,-,1.2
01210,46,こむぎ ［パン類］ くるみパン,1225,292,39.2,7.5,"8.2",12.5,"12",12.6,38.4,34.8,"37.0","2.4",-,38.7,Tr,1.3,310,150,35,33,88,0.8,0.9,0.23,0.61,2,18,1,12,15,0,3,Tr,6,11,"0.1",0.4,0.1,3.3,0.4,2,0.11,"0.09","0.8",2.2,0.11,"Tr","45",0.55,2.9,0,-,0.8
01036,47,こむぎ ［パン類］ イングリッシュマフィン,946,224,46.0,7.4,"8.1",3.2,"Tr",3.6,40.1,36.7,"40.6","1.2",-,40.8,-,1.5,480,84,53,19,96,0.9,0.8,0.12,0.28,-,-,-,-,0,Tr,1,0,1,Tr,"0",0.3,0.1,0.3,0.1,Tr,0.15,"0.08","1.2",2.8,0.05,"0","23",0.32,-,0,-,1.2
01037,48,こむぎ ［パン類］ ナン,1086,257,37.2,9.5,"10.3",3.1,"0",3.4,45.6,41.6,"46.7","2.0",-,47.6,-,1.5,530,97,11,22,77,0.8,0.7,0.11,0.30,-,-,-,-,0,0,0,0,0,0,"0",0.6,0.1,0.7,0,0,0.13,"0.06","1.3",3.4,0.05,"0","36",0.55,-,0,-,1.3
01148,49,こむぎ ［パン類］ ベーグル,1142,270,32.3,8.2,"9.6",1.9,"-",2.0,50.3,46.0,"53.6","2.5",Tr,54.6,-,1.4,460,97,24,24,81,1.3,0.7,0.11,0.45,-,-,-,-,-,-,-,-,-,-,"-",0.2,0.1,Tr,0,-,0.19,"0.08","2.0",3.7,0.06,"-","47",0.28,-,-,-,1.2
01038,50,こむぎ ［うどん・そうめん類］ うどん 生,1058,249,33.5,5.2,"6.1",0.5,"0",0.6,55.0,50.1,"54.2","3.6",Tr,56.8,-,3.0,1000,90,18,13,49,0.3,0.3,0.08,0.39,2,6,2,7,0,0,0,0,0,0,"0",0.2,0.2,0,0,-,0.09,"0.03","0.6",1.7,0.03,"0","5",0.36,0.8,0,-,2.5
01039,51,こむぎ ［うどん・そうめん類］ うどん ゆで,402,95,75.0,2.3,"2.6",0.3,"0",0.4,21.4,19.5,"20.7","1.3",0,21.6,-,0.4,120,9,6,6,18,0.2,0.1,0.04,0.12,Tr,2,1,2,0,0,0,0,0,0,"0",0.1,0.1,0,0,-,0.02,"0.01","0.2",0.7,0.01,"0","2",0.13,0.3,0,-,0.3
01186,52,こむぎ ［うどん・そうめん類］ うどん 半生うどん,1258,296,23.8,6.6,"7.8",2.9,"0",3.4,63.0,57.4,"60.0","4.1",0.1,62.5,-,2.5,1200,98,22,15,64,0.6,0.3,0.09,0.45,2,6,2,8,0,0,0,0,0,0,"0",0.2,0.2,0,0,-,0.10,"0.03","0.7",2.1,0.03,"0","6",0.41,0.9,0,-,3.0
01041,53,こむぎ ［うどん・そうめん類］ 干しうどん 乾,1420,333,13.5,8.0,"8.5",1.0,"0",1.1,76.8,69.9,"70.2","2.4",-,71.9,-,5.0,1700,130,17,19,70,0.6,0.4,0.11,0.50,0,10,1,12,0,0,0,0,0,0,"0",0.3,0.2,0,0,0,0.08,"0.02","0.9",2.5,0.04,"0","9",0.45,1.3,0,-,4.3
01042,54,こむぎ ［うどん・そうめん類］ 干しうどん ゆで,497,117,70.0,2.9,"3.1",0.4,"0",0.5,26.7,24.2,"25.4","0.7",-,25.8,-,0.6,210,14,7,4,24,0.2,0.1,0.04,0.14,-,-,-,-,0,0,0,0,0,0,"0",0.1,0.1,0,0,0,0.02,"0.01","0.2",0.8,0.01,"0","2",0.14,-,0,-,0.5
